Type	Exodiab_ID	Tissue	Charge	xylose	valine	uridine	uric acid	urea	tyrosine	tryptophan	tocopherol gamma	tocopherol beta NIST	tocopherol alpha	threonine	threonic acid	taurine	sucrose	succinic acid	stearic acid	shikimic acid	serine	pyrophosphate	"pyrazine 2,5-dihydroxy  NIST"	putrescine	pseudo uridine	proline	phosphoric acid	phosphoethanolamine	phenylalanine	pelargonic acid	palmitoleic acid	palmitic acid butyl ester NIST	palmitic acid	oxalic acid	ornithine	oleic acid	N-methylalanine	myristic acid	monopalmitin-1-glyceride	methionine	mannitol	maltose	lysine	linoleic acid	lignoceric acid	levoglucosan	leucine	lauric acid	lathosterol NIST	lactic acid	kynurenine	isothreonic acid	isonicotinic acid	isoleucine	inulobiose 2	inositol myo-	indole-3-lactate	indole-3-acetate	histidine	heptadecanoic acid	glycolic acid	glycine	glycerol-beta-phosphate	glycerol-alpha-phosphate	glycerol	glyceric acid	glutamine	glutamic acid	glucuronic acid	glucose	gluconic acid	fumaric acid	fructose	ethanolamine	erythritol	cystine	cysteine-glycine	cysteine	creatinine	conduritol-beta-epoxide	citrulline	citric acid	cholesterol	benzylalcohol	benzoic acid	behenic acid	aspartic acid	asparagine	arginine + ornithine	arachidonic acid	arachidic acid	alpha mannosylglycerate	alpha ketoglutaric acid	alanine	adipic acid	aconitic acid	4-hydroxyproline	3-hydroxybutanoic acid 	"3,6-anhydrogalactose"	2-phenylpropanol NIST	2-oxogluconic acid NIST	2-ketoisocaproic acid	2-hydroxyvaleric acid	2-hydroxybutanoic acid	2-deoxyerythritol NIST	2-aminoadipic acid	1-monostearin	1-monoolein	1-hexadecanol
Meta	Type	plasma	None	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite
Meta	Formula	plasma	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
Meta	Mass	plasma	None	103	144	258	441	171	218	202	223	222	237	117	292	326	271	247	117	204	204	451	241	174	217	142	299	100	218	117	129	129	313	147	142	339	130	285	371	176	103	361	156	337	117	204	158	117	255	191	218	292	180	158	204	305	202	202	154	117	177	174	211	299	205	189	156	246	333	160	333	245	307	174	205	218	220	220	115	318	157	273	129	165	179	117	232	116	142	91	117	217	198	116	111	229	140	191	231	193	201	200	131	131	103	260	399	129	299
Meta	RT	plasma	None	542808	313224	856953	731185	331223	671085	779834	1026222	1022809	1067178	409403	497167	557250	913309	370518	787358	607609	394650	548254	396061	588249	813829	364232	344674	604454	538016	399163	706298	768467	711066	259625	527822	778858	286258	634543	901207	483425	665209	946608	663816	777102	977850	569799	345953	547810	1095135	215380	769271	489846	367074	356931	930708	729867	764543	685195	663393	750645	229810	364262	574994	588999	343749	373972	600452	527101	666743	657634	693140	390708	642325	342787	471274	804143	715639	499495	502434	704220	620728	617288	1077630	281322	338043	919675	480543	553791	619420	833292	856486	633295	507734	243537	475399	586574	481319	278929	589230	319992	542152	310629	310750	258175	422939	572700	959625	952993	679338
Meta	AZm_ID	plasma	None	A200500	A199605	A213127	A221495	A199770	A199781	A199775	A202089	A270413	A199211	A199626	A199262	A234595	A223525	A199210	A199195	A228066	A213294	A213203	A203238	A200452	A213381	A199611	A199165	A199628	A217642	A201810	A203265	A206210	A227993	A207563	A202829	A199610	A205663	A199929	A202859	A200533	A210512	A231911	A200530	A199240	A199247	A199201	A199607	A201826	A269290	A228677	A226885	A200467	A206136	A205110	A202729	A199164	A223518	A223508	A231328	A200398	A216047	A227957	A212582	A231662	A207507	A228009	A199776	A227977	A216853	A270055	A211990	A218753	A199181	A213251	A200514	A223490	A227594	A223529	A199603	A208840	A228157	A199168	A199589	A200353	A211970	A203290	A199612	A199805	A199796	A221144	A241206	A199788	A200425	A199651	A218815	A199256	A227980	A199774	A200841	A212666	A228269	A213388	A218773	A199800	A211437	A213131	A202835	A213963	A213408
Meta	CAS_ID	plasma	None																																																																																																										
Meta	ALT_CAS_ID	plasma	None																																																																																																										
Meta	HMDB_ID	plasma	None																																																																																																										
Meta	ALT_HMDB_ID	plasma	None																																																																																																										
Meta	KEGG_ID	plasma	None	C00181	C00183	C00299	C00366	C00086	C00082	C00078	C02483	C14152	C02477	C00188	C01620	C00245	C00089	C00042	C01530	C00493	C00065	C00013		C00134	C02067	C00148	C00009	C00346	C00079	C01601	C08362		C00249	C00209	C00077	C01712	C02721	C06424		C00073	C00392	C01971	C00047	C01595	C08320		C00123	C02679 	C01189	C00256	C00328		C07446	C00407	C01711	C00137	C02043	C00954	C00135		C00160	C00037	C02979	C00093	C00116	C00258	C00064	C00025	C00191	C00031	C00257	C00122	C00095	C00189	C00503	C00491	C01419	C00097	C00791		C00327	C00158	C00187	C00556	C00180	C08281	C00049	C00152	C00062	C00219	C06425	C11544	C00026	C00041	C06104	C00417	C01015	C05984	C06474		C00629	C00233		C05984		C00956	D01947	C01885	C00823
Meta	ALT_KEGG_ID	plasma	None																																																																																																										
Meta	ChEBI_ID	plasma	None																																																																																																										
Meta	ALT_ChEBI_ID	plasma	None																																																																																																										
Meta	PUBCHEM_ID	plasma	None	6027	6287	6029	1175	1176	6057	6305	92729	8989	14985	6288	439535	1123	5988	1110	5281	8742	5951	1023	15532987	1045	15047	145742	 1004	1015	6140	8158	445638	8090	985	971	6262	445639	5288725	11005	14900	6137	6251	6255	5962	5280450	11197	2724705	6106	3893	65728	61503	161166	151152	5922	6306	439552	892	92904	802	6274	10465	757	750	2526	754	753	439194	5961	33032	94715	5793	604	444972	5984	700	222285	67678	439498	594	588	119054	9750	311	5997	244	243	8215	5960	236	232	444899	10467	443262	51	5950	196	309	825	11266	441040	447661	3035456	70	98009	94318	18302	469	24699	5283468	2682
Meta	ALT_PUBCHEM_ID	plasma	None																																																																																																										
Meta	CHEMSPIDER_ID	plasma	None																																																																																																										
Meta	ALT_CHEMSPIDER_IS	plasma	None																																																																																																										
Meta	LIPIDMAPS_ID	plasma	None																																																																																																										
Meta	ALT_LIPIDMAPS_ID	plasma	None																																																																																																										
Meta	METLIN_ID	plasma	None																																																																																																										
Meta	ALT_METLIN_ID	plasma	None																																																																																																										
Meta	PROBLEMATIC	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Meta	MSMS_CONFIRMED	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
